file_name,text,bin_category,normalized_length
/drive/MyDrive/Comp 542/IAM/words/g06/g06-050d/g06-050d-02-07.png,patient,short,0.75
/drive/MyDrive/Comp 542/IAM/words/n02/n02-146/n02-146-01-11.png,of,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/h07/h07-007/h07-007-00-02.png,no,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/g01/g01-022/g01-022-07-02.png,RULING,short,0.625
/drive/MyDrive/Comp 542/IAM/words/e02/e02-091/e02-091-01-02.png,good,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/r06/r06-137/r06-137-04-02.png,cruelty,short,0.75
/drive/MyDrive/Comp 542/IAM/words/n04/n04-213/n04-213-06-00.png,though,short,0.625
/drive/MyDrive/Comp 542/IAM/words/k04/k04-061/k04-061-02-05.png,into,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/f07/f07-039b/f07-039b-03-02.png,or,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/p06/p06-096/p06-096-05-02.png,was,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/h06/h06-003/h06-003-04-05.png,them,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/f04/f04-079/f04-079-05-03.png,money,short,0.5
/drive/MyDrive/Comp 542/IAM/words/f07/f07-046b/f07-046b-08-05.png,.,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/r03/r03-084/r03-084-00-02.png,afraid,short,0.625
/drive/MyDrive/Comp 542/IAM/words/a04/a04-019/a04-019-00-09.png,with,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/n01/n01-045/n01-045-02-01.png,slightly,short,0.875
/drive/MyDrive/Comp 542/IAM/words/e06/e06-015/e06-015-03-05.png,to,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/c04/c04-098/c04-098-04-00.png,American,short,0.875
/drive/MyDrive/Comp 542/IAM/words/l04/l04-102/l04-102-05-01.png,right,short,0.5
/drive/MyDrive/Comp 542/IAM/words/f01/f01-070/f01-070-07-04.png,"""",very short,0.0
/drive/MyDrive/Comp 542/IAM/words/f04/f04-035/f04-035-00-03.png,the,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/g06/g06-018l/g06-018l-03-03.png,to,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/l04/l04-066/l04-066-00-09.png,ate,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/h07/h07-087/h07-087-00-09.png,give,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/e07/e07-101/e07-101-00-06.png,is,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/c03/c03-081d/c03-081d-06-06.png,",",very short,0.0
/drive/MyDrive/Comp 542/IAM/words/b01/b01-084/b01-084-02-07.png,a,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/b03/b03-025/b03-025-02-00.png,truism,short,0.625
/drive/MyDrive/Comp 542/IAM/words/h07/h07-028a/h07-028a-08-01.png,districts,short,1.0
/drive/MyDrive/Comp 542/IAM/words/p01/p01-147/p01-147-03-04.png,up,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/a04/a04-035/a04-035-08-04.png,through,short,0.75
/drive/MyDrive/Comp 542/IAM/words/e02/e02-014/e02-014-05-02.png,plane,short,0.5
/drive/MyDrive/Comp 542/IAM/words/f07/f07-032a/f07-032a-08-04.png,at,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/p03/p03-012/p03-012-06-00.png,less,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/g07/g07-038/g07-038-01-00.png,#,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/n06/n06-201/n06-201-01-05.png,avenge,short,0.625
/drive/MyDrive/Comp 542/IAM/words/g06/g06-037i/g06-037i-00-06.png,I,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/h06/h06-003/h06-003-00-06.png,reported,short,0.875
/drive/MyDrive/Comp 542/IAM/words/f02/f02-038/f02-038-02-03.png,an,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/r06/r06-066/r06-066-04-05.png,and,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/g06/g06-047d/g06-047d-06-01.png,in,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/h07/h07-060a/h07-060a-05-06.png,readily,short,0.75
/drive/MyDrive/Comp 542/IAM/words/n04/n04-190/n04-190-03-11.png,that,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/b04/b04-195/b04-195-03-04.png,.,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/b04/b04-040/b04-040-01-05.png,their,short,0.5
/drive/MyDrive/Comp 542/IAM/words/j04/j04-065/j04-065-04-04.png,also,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/r03/r03-030/r03-030-03-06.png,.,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/a04/a04-069/a04-069-02-05.png,spread,short,0.625
/drive/MyDrive/Comp 542/IAM/words/h01/h01-024/h01-024-06-06.png,The,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/g06/g06-047r/g06-047r-01-05.png,year,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/b05/b05-017/b05-017-03-13.png,.,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/g06/g06-018l/g06-018l-04-06.png,",",very short,0.0
/drive/MyDrive/Comp 542/IAM/words/c03/c03-096a/c03-096a-01-04.png,.,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/g06/g06-037r/g06-037r-05-05.png,malady,short,0.625
/drive/MyDrive/Comp 542/IAM/words/b06/b06-045/b06-045-02-05.png,us,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/e07/e07-061/e07-061-06-08.png,I,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/b05/b05-088/b05-088-06-05.png,and,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/b03/b03-025/b03-025-06-02.png,yet,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/l01/l01-133/l01-133-05-01.png,worked,short,0.625
/drive/MyDrive/Comp 542/IAM/words/a06/a06-075/a06-075-05-02.png,.,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/a04/a04-019/a04-019-00-06.png,Premier,short,0.75
/drive/MyDrive/Comp 542/IAM/words/a05/a05-062/a05-062-02-08.png,Anthony,short,0.75
/drive/MyDrive/Comp 542/IAM/words/b01/b01-118/b01-118-01-00.png,tinue,short,0.5
/drive/MyDrive/Comp 542/IAM/words/n01/n01-009/n01-009-05-06.png,not,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/h04/h04-028/h04-028-04-02.png,average,short,0.75
/drive/MyDrive/Comp 542/IAM/words/a06/a06-100/a06-100-00-02.png,previous,short,0.875
/drive/MyDrive/Comp 542/IAM/words/a05/a05-025/a05-025-04-03.png,had,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/g06/g06-011f/g06-011f-06-00.png,by,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/f02/f02-020/f02-020-02-05.png,address,short,0.75
/drive/MyDrive/Comp 542/IAM/words/p02/p02-115/p02-115-06-00.png,who,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/r03/r03-007/r03-007-07-00.png,holiday,short,0.75
/drive/MyDrive/Comp 542/IAM/words/g06/g06-037f/g06-037f-01-02.png,well,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/g01/g01-043/g01-043-01-02.png,the,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/g01/g01-004/g01-004-03-03.png,",",very short,0.0
/drive/MyDrive/Comp 542/IAM/words/f01/f01-147/f01-147-00-07.png,himself,short,0.75
/drive/MyDrive/Comp 542/IAM/words/b01/b01-023/b01-023-06-01.png,go,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/b02/b02-045/b02-045-04-00.png,that,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/g07/g07-018a/g07-018a-00-05.png,that,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/g06/g06-050m/g06-050m-09-04.png,.,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/l01/l01-143/l01-143-05-02.png,.,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/h07/h07-003/h07-003-00-07.png,estates,short,0.75
/drive/MyDrive/Comp 542/IAM/words/a01/a01-122u/a01-122u-00-04.png,it,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/n04/n04-052/n04-052-03-07.png,warning,short,0.75
/drive/MyDrive/Comp 542/IAM/words/e02/e02-018/e02-018-01-04.png,required,short,0.875
/drive/MyDrive/Comp 542/IAM/words/f07/f07-000/f07-000-06-03.png,the,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/l04/l04-087/l04-087-00-07.png,panel,short,0.5
/drive/MyDrive/Comp 542/IAM/words/c04/c04-066/c04-066-07-00.png,don't,short,0.5
/drive/MyDrive/Comp 542/IAM/words/b04/b04-096/b04-096-01-08.png,The,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/g01/g01-039/g01-039-04-00.png,When,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/n04/n04-130/n04-130-05-00.png,companion,short,1.0
/drive/MyDrive/Comp 542/IAM/words/f01/f01-143/f01-143-05-01.png,the,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/g07/g07-077a/g07-077a-08-05.png,he,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/a03/a03-043/a03-043-02-05.png,(,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/p02/p02-105/p02-105-00-00.png,As,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/g06/g06-037f/g06-037f-06-01.png,he,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/g06/g06-050g/g06-050g-04-05.png,character,short,1.0
/drive/MyDrive/Comp 542/IAM/words/m04/m04-007/m04-007-02-00.png,the,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/m02/m02-080/m02-080-07-05.png,.,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/m01/m01-012/m01-012-10-05.png,black,short,0.5
/drive/MyDrive/Comp 542/IAM/words/a01/a01-107u/a01-107u-04-06.png,But,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/c04/c04-017/c04-017-05-07.png,first,short,0.5
/drive/MyDrive/Comp 542/IAM/words/g06/g06-011k/g06-011k-03-02.png,',very short,0.0
/drive/MyDrive/Comp 542/IAM/words/d06/d06-100/d06-100-04-02.png,.,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/c01/c01-014/c01-014-09-02.png,least,short,0.5
/drive/MyDrive/Comp 542/IAM/words/d06/d06-025/d06-025-04-06.png,",",very short,0.0
/drive/MyDrive/Comp 542/IAM/words/d01/d01-016/d01-016-03-10.png,.,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/b06/b06-082/b06-082-01-05.png,new,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/a05/a05-000/a05-000-07-04.png,.,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/f07/f07-084b/f07-084b-03-00.png,household,short,1.0
/drive/MyDrive/Comp 542/IAM/words/c03/c03-007b/c03-007b-04-06.png,the,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/h02/h02-035/h02-035-04-00.png,to,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/h07/h07-063b/h07-063b-05-04.png,Basildon,short,0.875
/drive/MyDrive/Comp 542/IAM/words/a04/a04-050/a04-050-04-08.png,",",very short,0.0
/drive/MyDrive/Comp 542/IAM/words/g06/g06-011j/g06-011j-06-01.png,gay,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/b04/b04-000/b04-000-04-01.png,murder,short,0.625
/drive/MyDrive/Comp 542/IAM/words/p02/p02-090/p02-090-06-03.png,the,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/p02/p02-022/p02-022-04-04.png,hers,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/m06/m06-083/m06-083-07-00.png,from,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/f07/f07-016/f07-016-05-01.png,of,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/d05/d05-030/d05-030-06-04.png,.,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/e01/e01-050/e01-050-03-03.png,the,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/g04/g04-022/g04-022-04-04.png,if,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/h06/h06-085/h06-085-09-00.png,forward,short,0.75
/drive/MyDrive/Comp 542/IAM/words/b04/b04-047/b04-047-00-00.png,He,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/j06/j06-014/j06-014-09-01.png,.,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/e01/e01-062/e01-062-00-03.png,",",very short,0.0
/drive/MyDrive/Comp 542/IAM/words/c06/c06-027/c06-027-04-06.png,bar,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/c03/c03-096f/c03-096f-02-04.png,",",very short,0.0
/drive/MyDrive/Comp 542/IAM/words/d04/d04-021/d04-021-05-04.png,is,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/g06/g06-011a/g06-011a-01-03.png,told,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/g01/g01-043/g01-043-01-06.png,wisely,short,0.625
/drive/MyDrive/Comp 542/IAM/words/c03/c03-081d/c03-081d-05-03.png,However,short,0.75
/drive/MyDrive/Comp 542/IAM/words/d04/d04-021/d04-021-01-05.png,Shamir,short,0.625
/drive/MyDrive/Comp 542/IAM/words/n04/n04-044/n04-044-08-06.png,but,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/k04/k04-103/k04-103-00-01.png,this,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/g06/g06-050f/g06-050f-01-12.png,his,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/c04/c04-089/c04-089-02-15.png,as,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/f03/f03-182/f03-182-01-06.png,their,short,0.5
/drive/MyDrive/Comp 542/IAM/words/d06/d06-072/d06-072-07-01.png,what,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/n02/n02-154/n02-154-00-10.png,standing,short,0.875
/drive/MyDrive/Comp 542/IAM/words/g07/g07-084/g07-084-01-11.png,painful,short,0.75
/drive/MyDrive/Comp 542/IAM/words/a05/a05-053/a05-053-07-01.png,was,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/a04/a04-081/a04-081-04-04.png,to,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/p03/p03-027/p03-027-03-09.png,",",very short,0.0
/drive/MyDrive/Comp 542/IAM/words/n04/n04-218/n04-218-02-00.png,must,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/h07/h07-060a/h07-060a-04-07.png,.,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/a05/a05-099/a05-099-04-01.png,of,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/g03/g03-052/g03-052-00-02.png,no,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/d06/d06-104/d06-104-08-02.png,what,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/l01/l01-143/l01-143-05-06.png,to,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/g05/g05-094/g05-094-00-03.png,concept,short,0.75
/drive/MyDrive/Comp 542/IAM/words/c03/c03-094a/c03-094a-00-05.png,),very short,0.0
/drive/MyDrive/Comp 542/IAM/words/k04/k04-115/k04-115-02-00.png,the,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/j04/j04-046/j04-046-04-04.png,the,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/r03/r03-056/r03-056-01-05.png,raucous,short,0.75
/drive/MyDrive/Comp 542/IAM/words/e06/e06-033/e06-033-03-01.png,",",very short,0.0
/drive/MyDrive/Comp 542/IAM/words/g06/g06-018l/g06-018l-01-02.png,and,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/e07/e07-072/e07-072-09-06.png,except,short,0.625
/drive/MyDrive/Comp 542/IAM/words/a06/a06-119/a06-119-08-06.png,of,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/n03/n03-103/n03-103-05-00.png,same,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/l01/l01-179/l01-179-01-00.png,God,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/k04/k04-136/k04-136-02-01.png,:,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/f01/f01-075/f01-075-00-01.png,one,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/f01/f01-075/f01-075-08-07.png,on,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/b06/b06-087/b06-087-00-04.png,way,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/g06/g06-050i/g06-050i-03-07.png,a,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/a04/a04-043/a04-043-06-04.png,Nato,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/c04/c04-000/c04-000-02-02.png,new,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/j06/j06-014/j06-014-01-05.png,",",very short,0.0
/drive/MyDrive/Comp 542/IAM/words/n02/n02-062/n02-062-02-08.png,were,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/a06/a06-051/a06-051-07-02.png,the,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/g01/g01-027/g01-027-02-06.png,needs,short,0.5
/drive/MyDrive/Comp 542/IAM/words/d06/d06-086/d06-086-00-03.png,find,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/n06/n06-148/n06-148-07-04.png,he,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/a01/a01-063/a01-063-09-00.png,that,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/j04/j04-008/j04-008-02-04.png,days,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/g06/g06-018e/g06-018e-03-06.png,this,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/k02/k02-029/k02-029-03-07.png,about,short,0.5
/drive/MyDrive/Comp 542/IAM/words/c06/c06-011/c06-011-08-07.png,.,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/e06/e06-053/e06-053-07-00.png,was,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/e07/e07-105/e07-105-04-00.png,The,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/b01/b01-084/b01-084-06-00.png,simply,short,0.625
/drive/MyDrive/Comp 542/IAM/words/g01/g01-088/g01-088-00-05.png,at,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/c06/c06-020/c06-020-07-04.png,there,short,0.5
/drive/MyDrive/Comp 542/IAM/words/n06/n06-140/n06-140-04-09.png,.,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/e04/e04-004/e04-004-00-01.png,by,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/r02/r02-065/r02-065-00-06.png,and,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/a05/a05-053/a05-053-09-07.png,of,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/k02/k02-076/k02-076-01-02.png,I,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/n03/n03-103/n03-103-09-02.png,up,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/g06/g06-018f/g06-018f-05-09.png,a,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/d06/d06-096/d06-096-00-09.png,anybody,short,0.75
/drive/MyDrive/Comp 542/IAM/words/f07/f07-039a/f07-039a-05-03.png,a,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/g06/g06-018f/g06-018f-00-08.png,sent,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/g06/g06-037o/g06-037o-06-05.png,an,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/g06/g06-050d/g06-050d-02-00.png,In,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/h01/h01-018/h01-018-01-06.png,built,short,0.5
/drive/MyDrive/Comp 542/IAM/words/l07/l07-187/l07-187-05-00.png,ancient,short,0.75
/drive/MyDrive/Comp 542/IAM/words/p03/p03-151/p03-151-04-03.png,"""",very short,0.0
/drive/MyDrive/Comp 542/IAM/words/h07/h07-071/h07-071-05-05.png,new,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/p01/p01-147/p01-147-03-03.png,tidying,short,0.75
/drive/MyDrive/Comp 542/IAM/words/p03/p03-142/p03-142-04-07.png,patient,short,0.75
/drive/MyDrive/Comp 542/IAM/words/f04/f04-035/f04-035-02-09.png,asked,short,0.5
/drive/MyDrive/Comp 542/IAM/words/r06/r06-044/r06-044-10-04.png,was,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/c04/c04-098/c04-098-02-09.png,away,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/m02/m02-059/m02-059-05-01.png,a,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/g01/g01-000/g01-000-06-02.png,manned,short,0.625
/drive/MyDrive/Comp 542/IAM/words/g06/g06-031l/g06-031l-05-02.png,a,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/g06/g06-042j/g06-042j-00-05.png,wondered,short,0.875
/drive/MyDrive/Comp 542/IAM/words/h02/h02-049/h02-049-02-08.png,doctor,short,0.625
/drive/MyDrive/Comp 542/IAM/words/r06/r06-000/r06-000-04-00.png,sunshine,short,0.875
/drive/MyDrive/Comp 542/IAM/words/m04/m04-246/m04-246-00-03.png,thought,short,0.75
/drive/MyDrive/Comp 542/IAM/words/a06/a06-114/a06-114-00-05.png,Market,short,0.625
/drive/MyDrive/Comp 542/IAM/words/g01/g01-039/g01-039-06-07.png,collected,short,1.0
/drive/MyDrive/Comp 542/IAM/words/b04/b04-195/b04-195-06-03.png,knowledge,short,1.0
/drive/MyDrive/Comp 542/IAM/words/g06/g06-011a/g06-011a-06-02.png,and,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/h07/h07-040/h07-040-01-01.png,the,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/c03/c03-007d/c03-007d-04-01.png,",",very short,0.0
/drive/MyDrive/Comp 542/IAM/words/l01/l01-119/l01-119-07-04.png,arsenic,short,0.75
/drive/MyDrive/Comp 542/IAM/words/a06/a06-014/a06-014-00-00.png,They,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/d04/d04-071/d04-071-04-05.png,father,short,0.625
/drive/MyDrive/Comp 542/IAM/words/e04/e04-132/e04-132-00-01.png,these,short,0.5
/drive/MyDrive/Comp 542/IAM/words/g01/g01-039/g01-039-00-10.png,or,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/b05/b05-050/b05-050-04-07.png,game,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/g01/g01-070/g01-070-06-01.png,were,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/d04/d04-096/d04-096-07-01.png,.,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/g04/g04-032/g04-032-02-01.png,a,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/d06/d06-008/d06-008-05-08.png,to,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/d07/d07-089/d07-089-01-03.png,the,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/g06/g06-026m/g06-026m-00-08.png,happens,short,0.75
/drive/MyDrive/Comp 542/IAM/words/d06/d06-008/d06-008-00-05.png,them,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/h07/h07-054a/h07-054a-01-01.png,have,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/e04/e04-030/e04-030-04-02.png,shown,short,0.5
/drive/MyDrive/Comp 542/IAM/words/a06/a06-075/a06-075-07-05.png,Williams,short,0.875
/drive/MyDrive/Comp 542/IAM/words/e07/e07-083/e07-083-07-06.png,chore,short,0.5
/drive/MyDrive/Comp 542/IAM/words/c04/c04-139/c04-139-06-02.png,and,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/g07/g07-065/g07-065-08-02.png,lifted,short,0.625
/drive/MyDrive/Comp 542/IAM/words/m04/m04-081/m04-081-01-05.png,an,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/a01/a01-058x/a01-058x-00-05.png,get,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/c01/c01-009/c01-009-02-00.png,story,short,0.5
/drive/MyDrive/Comp 542/IAM/words/n06/n06-194/n06-194-03-04.png,.,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/a05/a05-022/a05-022-01-03.png,extended,short,0.875
/drive/MyDrive/Comp 542/IAM/words/f01/f01-070/f01-070-00-00.png,Can,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/f01/f01-139/f01-139-04-03.png,called,short,0.625
/drive/MyDrive/Comp 542/IAM/words/m06/m06-067/m06-067-02-06.png,second,short,0.625
/drive/MyDrive/Comp 542/IAM/words/d06/d06-050/d06-050-03-07.png,physical,short,0.875
/drive/MyDrive/Comp 542/IAM/words/k04/k04-064/k04-064-00-00.png,He,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/e04/e04-103/e04-103-03-00.png,round,short,0.5
